      Time        DX           DY       
   2.16500E+02  9.92607E-01 -1.21374E-01
   2.17000E+02  8.42431E-01 -5.38804E-01
   2.17500E+02 -8.44181E-01 -5.36058E-01
   2.18000E+02 -9.92417E-01 -1.22914E-01
   2.18500E+02  2.88625E-01 -9.57442E-01
   2.19000E+02  9.99995E-01 -3.15956E-03
   2.19500E+02  4.86679E-01 -8.73581E-01
   2.20000E+02 -9.77074E-01 -2.12901E-01
   2.20500E+02 -9.16263E-01 -4.00578E-01
   2.21000E+02  7.35568E-01 -6.77451E-01
   2.21500E+02  9.98437E-01 -5.58895E-02
   2.22000E+02 -6.55623E-02 -9.97848E-01
   2.22500E+02 -9.99574E-01 -2.91849E-02
   2.23000E+02 -6.55923E-01 -7.54828E-01
   2.23500E+02  9.45047E-01 -3.26936E-01
   2.24000E+02  9.61249E-01 -2.75682E-01
   2.24500E+02 -5.88115E-01 -8.08777E-01
   2.25000E+02 -9.99890E-01 -1.48451E-02
   2.25500E+02 -1.62559E-01 -9.86699E-01
   2.26000E+02  9.96682E-01 -8.13970E-02
   2.26500E+02  7.86654E-01 -6.17395E-01
   2.27000E+02 -8.88669E-01 -4.58549E-01
   2.27500E+02 -9.85301E-01 -1.70830E-01
   2.28000E+02  4.03711E-01 -9.14886E-01
   2.28500E+02  1.00000E+00 -5.18747E-05
   2.29000E+02  3.78274E-01 -9.25694E-01
   2.29500E+02 -9.87232E-01 -1.59287E-01
   2.30000E+02 -8.79467E-01 -4.75959E-01
   2.30500E+02  8.00328E-01 -5.99562E-01
   2.31000E+02  9.95961E-01 -8.97922E-02
   2.31500E+02 -1.90690E-01 -9.81650E-01
   2.32000E+02 -9.99933E-01 -1.15426E-02
   2.32500E+02 -5.66866E-01 -8.23810E-01
   2.33000E+02  9.65257E-01 -2.61303E-01
   2.33500E+02  9.39466E-01 -3.42642E-01
   2.34000E+02 -6.74508E-01 -7.38268E-01
   2.34500E+02 -9.99411E-01 -3.43115E-02
   2.35000E+02 -3.68108E-02 -9.99322E-01
   2.35500E+02  9.98784E-01 -4.92950E-02
   2.36000E+02  7.19194E-01 -6.94810E-01
   2.36500E+02 -9.23341E-01 -3.83981E-01
   2.37000E+02 -9.74112E-01 -2.26068E-01
   2.37500E+02  5.09934E-01 -8.60213E-01
   2.38000E+02  9.99988E-01 -4.98643E-03
   2.38500E+02  2.61468E-01 -9.65212E-01
   2.39000E+02 -9.93585E-01 -1.13089E-01
   2.39500E+02 -8.32590E-01 -5.53889E-01
   2.40000E+02  8.53545E-01 -5.21019E-01
   2.40500E+02  9.91312E-01 -1.31534E-01
   2.41000E+02 -3.11329E-01 -9.50302E-01
   2.41500E+02 -9.99998E-01 -1.93826E-03
   2.42000E+02 -4.66594E-01 -8.84471E-01
   2.42500E+02  9.79376E-01 -2.02044E-01
   2.43000E+02  9.09920E-01 -4.14785E-01
   2.43500E+02 -7.48934E-01 -6.62644E-01
   2.44000E+02 -9.98089E-01 -6.17884E-02
   2.44500E+02  8.98196E-02 -9.95958E-01
   2.45000E+02  9.99683E-01 -2.51718E-02
   2.45500E+02  6.39722E-01 -7.68606E-01
   2.46000E+02 -9.49466E-01 -3.13870E-01
   2.46500E+02 -9.57602E-01 -2.88095E-01
   2.47000E+02  6.05626E-01 -7.95749E-01
   2.47500E+02  9.99839E-01 -1.79621E-02
   2.48000E+02  1.38607E-01 -9.90347E-01
   2.48500E+02 -9.97213E-01 -7.46133E-02
   2.49000E+02 -7.74615E-01 -6.32433E-01
   2.49500E+02  8.96056E-01 -4.43942E-01
   2.50000E+02  9.83504E-01 -1.80888E-01
   2.50500E+02 -4.24869E-01 -9.05255E-01
   2.51000E+02 -1.00000E+00 -3.75844E-04
   2.51500E+02 -3.56417E-01 -9.34327E-01
   2.52000E+02  9.88713E-01 -1.49823E-01
   2.52500E+02  8.71278E-01 -4.90790E-01
   2.53000E+02 -8.11429E-01 -5.84451E-01
   2.53500E+02 -9.95264E-01 -9.72095E-02
   2.54000E+02  2.14305E-01 -9.76767E-01
   2.54500E+02  9.99959E-01 -9.07315E-03
   2.55000E+02  5.48438E-01 -8.36191E-01
   2.55500E+02 -9.68401E-01 -2.49399E-01
   2.56000E+02 -9.34434E-01 -3.56138E-01
   2.56500E+02  6.89743E-01 -7.24054E-01
   2.57000E+02  9.99240E-01 -3.89706E-02
   2.57500E+02  1.24542E-02 -9.99922E-01
   2.58000E+02 -9.99030E-01 -4.40386E-02
   2.58500E+02 -7.04858E-01 -7.09349E-01
   2.59000E+02  9.28983E-01 -3.70123E-01
   2.59500E+02  9.71393E-01 -2.37479E-01
   2.60000E+02 -5.29179E-01 -8.48510E-01
   2.60500E+02 -9.99976E-01 -6.85563E-03
   2.61000E+02 -2.38250E-01 -9.71204E-01
   2.61500E+02  9.94463E-01 -1.05090E-01
   2.62000E+02  8.22339E-01 -5.68998E-01
   2.62500E+02 -8.62513E-01 -5.06035E-01
